PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
hypothetical protein	Rv0030	Mycobacterium tuberculosis H37Rv complete genome.	PF10921.1	DUF2710	Protein of unknown function (DUF2710)	33224	33550	327	229.7	2.8E-69
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF00155.13	Aminotran_1_2	Aminotransferase class I and II	35540	36565	1026	202.60000610351562	0.0
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF01212.13	Beta_elim_lyase	Beta-eliminating lyase	35675	36409	735	-81.80000305175781	3.199999991920777E-5
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF00155.13	Aminotran_1_2	Aminotransferase class I and II	35540	36565	1026	203.16000366210938	0.0
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00858	bioF	8-amino-7-oxononanoate synthase	35510	36568	1059	377.3900146484375	0.0
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF00155.14	Aminotran_1_2	Aminotransferase class I and II	35540	36565	1026	188.1	1.6E-55
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF01212.14	Beta_elim_lyase	Beta-eliminating lyase	35666	36388	723	34.0	1.3E-8
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF01041.10	DegT_DnrJ_EryC1	DegT/DnrJ/EryC1/StrS aminotransferase family	35642	36148	507	29.4	3.2E-7
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF01053.13	Cys_Met_Meta_PP	Cys/Met metabolism PLP-dependent enzyme	35669	36067	399	23.9	8.6E-6
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF00266.12	Aminotran_5	Aminotransferase class-V	35582	36073	492	23.7	1.3E-5
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	PF00202.13	Aminotran_3	Aminotransferase class-III	35519	36403	885	-188.5	0.032999999821186066
8-amino-7-oxononanoate synthase bioF2	Rv0032	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00858	TIGR00858	bioF: 8-amino-7-oxononanoate synthase	35492	36568	1077	349.4	3.7E-105
acyl carrier protein acpA	Rv0033	Mycobacterium tuberculosis H37Rv complete genome.	PF00550.17	PP-binding	Phosphopantetheine attachment site	36613	36813	201	41.900001525878906	2.2999999682582484E-9
acyl carrier protein acpA	Rv0033	Mycobacterium tuberculosis H37Rv complete genome.	PF00550.17	PP-binding	Phosphopantetheine attachment site	36613	36813	201	41.79999923706055	2.7000000013543968E-9
acyl carrier protein acpA	Rv0033	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00517	acyl_carrier	acyl carrier protein	36610	36825	216	30.760000228881836	1.9999999949504854E-6
acyl carrier protein acpA	Rv0033	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00517	TIGR00517	acyl_carrier: acyl carrier protein	36607	36816	210	46.7	4.5E-13
acyl carrier protein acpA	Rv0033	Mycobacterium tuberculosis H37Rv complete genome.	PF00550.18	PP-binding	Phosphopantetheine attachment site	36613	36813	201	47.8	9.8E-13
fatty-acid-CoA ligase fadD34	Rv0035	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.21	AMP-binding	AMP-binding enzyme	37358	38632	1275	192.1	8.0E-57
fatty-acid-CoA ligase fadD34	Rv0035	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	37358	38650	1293	157.05999755859375	5.465064010866787E-44
fatty-acid-CoA ligase fadD34	Rv0035	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	37358	38650	1293	157.3000030517578	4.0637655465419695E-44
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	PF08608.5	Wyosine_form	Wyosine base formation	39125	39283	159	37.9	1.1E-9
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	PF08608.4	Wyosine_form	Wyosine base formation	39125	39283	159	47.099998474121094	5.899999933056677E-11
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	PF08608.4	Wyosine_form	Wyosine base formation	39125	39283	159	36.279998779296875	1.199999957179898E-7
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	PF11716.1	MDMPI_N	Mycothiol maleylpyruvate isomerase N-terminal domain	39389	39799	411	113.9	5.8E-33
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	TIGR03083: uncharacterized Actinobacterial protein TIGR03083	39158	39802	645	161.7	5.9E-48
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03084	TIGR03084	TIGR03084: TIGR03084 family protein	39059	39814	756	363.8	1.1E-109
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03084	TIGR03084	conserved hypothetical protein TIGR03084	39059	39817	759	517.6900024414062	0.0
conserved hypothetical protein	Rv0036c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	uncharacterized Actinobacterial protein TIGR03083	39158	39802	645	212.99000549316406	0.0
conserved membrane protein	Rv0037c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.8	MFS_1	Major Facilitator Superfamily	40012	41088	1077	50.9900016784668	4.600000068355481E-12
conserved membrane protein	Rv0037c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.8	MFS_1	Major Facilitator Superfamily	39988	41088	1101	52.5	1.4000000160899195E-12
conserved membrane protein	Rv0037c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.9	MFS_1	Major Facilitator Superfamily	40051	41085	1035	38.4	4.8E-10
conserved hypothetical protein	Rv0038	Mycobacterium tuberculosis H37Rv complete genome.	PF02622.7	DUF179	Uncharacterized ACR, COG1678	41385	41861	477	162.7100067138672	1.401298464324817E-45
conserved hypothetical protein	Rv0038	Mycobacterium tuberculosis H37Rv complete genome.	PF02622.7	DUF179	Uncharacterized ACR, COG1678	41355	41903	549	149.3000030517578	9.999665841421895E-42
conserved hypothetical protein	Rv0038	Mycobacterium tuberculosis H37Rv complete genome.	PF02622.8	DUF179	Uncharacterized ACR, COG1678	41385	41861	477	119.9	6.0E-35
secreted proline rich protein mtc28	Rv0040c	Mycobacterium tuberculosis H37Rv complete genome.	PF10738.1	Lpp-LpqN	Probable lipoprotein LpqN	42550	43365	816	551.5	0.0
secreted proline rich protein mtc28	Rv0040c	Mycobacterium tuberculosis H37Rv complete genome.	PF10738.2	Lpp-LpqN	Probable lipoprotein LpqN	42550	43365	816	366.3	4.2E-110
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF08264.5	Anticodon_1	Anticodon-binding domain	46013	46372	360	15.670000076293945	6.000000212225132E-6
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00396	leuS_bact	leucyl-tRNA synthetase	43655	46471	2817	1090.4200439453125	0.0
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF09334.4	tRNA-synt_1g	tRNA synthetases class I (M)	43772	44182	411	57.6	6.5E-16
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF00133.15	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	44231	45109	879	118.7	1.4E-34
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF08264.6	Anticodon_1	Anticodon-binding domain	46001	46375	375	47.2	1.5E-12
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF09334.3	tRNA-synt_1g	tRNA synthetases class I (M)	43790	45943	2154	-241.60000610351562	5.500000042957254E-5
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF08264.5	Anticodon_1	Anticodon-binding domain	46013	46372	360	15.300000190734863	1.3000000080864993E-6
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00396	TIGR00396	leuS_bact: leucine--tRNA ligase	44240	46468	2229	875.6	0.0
leucyl-tRNA synthetase leuS	Rv0041	Mycobacterium tuberculosis H37Rv complete genome.	PF00133.15	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	43760	44116	357	118.7	1.4E-34
transcriptional regulator, marR-family	Rv0042c	Mycobacterium tuberculosis H37Rv complete genome.	PF01047.15	MarR	MarR family	46785	46961	177	62.1	2.3E-17
transcriptional regulator, marR-family	Rv0042c	Mycobacterium tuberculosis H37Rv complete genome.	PF01047.14	MarR	MarR family	46752	46961	210	96.0999984741211	1.099999972191823E-25
transcriptional regulator, marR-family	Rv0042c	Mycobacterium tuberculosis H37Rv complete genome.	PF01047.14	MarR	MarR family	46752	46961	210	96.06999969482422	1.200000048101681E-25
transcriptional regulator, gntR-family	Rv0043c	Mycobacterium tuberculosis H37Rv complete genome.	PF00392.13	GntR	Bacterial regulatory proteins, gntR family	47888	48076	189	52.400001525878906	1.4999999940062958E-12
transcriptional regulator, gntR-family	Rv0043c	Mycobacterium tuberculosis H37Rv complete genome.	PF00392.14	GntR	Bacterial regulatory proteins, gntR family	47888	48076	189	48.2	4.4E-13
transcriptional regulator, gntR-family	Rv0043c	Mycobacterium tuberculosis H37Rv complete genome.	PF00392.13	GntR	Bacterial regulatory proteins, gntR family	47888	48076	189	52.38999938964844	1.8000000361756419E-12
oxidoreductase	Rv0044c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03856	TIGR03856	F420_MSMEG_2906: probable F420-dependent oxidoreductase, MSMEG_2906 family	48242	48997	756	444.5	0.0
oxidoreductase	Rv0044c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03560	F420	probable F420-dependent oxidoreductase, Rv1855c family	48371	48937	567	200.94000244140625	0.0
oxidoreductase	Rv0044c	Mycobacterium tuberculosis H37Rv complete genome.	PF00296.13	Bac_luciferase	Luciferase-like monooxygenase	48308	49003	696	141.1	3.1E-41
hydrolase	Rv0045c	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.12	Abhydrolase_1	alpha/beta hydrolase fold	49061	49720	660	14.300000190734863	6.099999882280827E-4
hydrolase	Rv0045c	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.12	Abhydrolase_1	alpha/beta hydrolase fold	49061	49720	660	16.75	2.5099999038502574E-4
hydrolase	Rv0045c	Mycobacterium tuberculosis H37Rv complete genome.	PF00561.13	Abhydrolase_1	alpha/beta hydrolase fold	49064	49714	651	29.0	5.7E-7
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF01658.10	Inos-1-P_synth	Myo-inositol-1-phosphate synthase	50192	50518	327	112.3	7.9E-33
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03450	TIGR03450	mycothiol_INO1: inositol 1-phosphate synthase	50030	51079	1050	734.9	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03450	mycothiol_INO1	inositol 1-phosphate synthase	50030	51079	1050	939.5399780273438	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF01658.9	Inos-1-P_synth	Myo-inositol-1-phosphate synthase	50192	50518	327	183.64999389648438	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF07994.4	NAD_binding_5	Myo-inositol-1-phosphate synthase	50027	51079	1053	368.260009765625	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF01658.9	Inos-1-P_synth	Myo-inositol-1-phosphate synthase	50192	50518	327	181.8000030517578	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF07994.4	NAD_binding_5	Myo-inositol-1-phosphate synthase	50027	51079	1053	365.79998779296875	0.0
myo-inositol-1-phosphate synthase ino1	Rv0046c	Mycobacterium tuberculosis H37Rv complete genome.	PF07994.5	NAD_binding_5	Myo-inositol-1-phosphate synthase	50027	51079	1053	206.0	6.5E-61
conserved hypothetical protein	Rv0047c	Mycobacterium tuberculosis H37Rv complete genome.	PF03551.7	PadR	Transcriptional regulator PadR-like family	51479	51727	249	78.7	1.5E-22
conserved hypothetical protein	Rv0047c	Mycobacterium tuberculosis H37Rv complete genome.	PF03551.6	PadR	Transcriptional regulator PadR-like family	51479	51727	249	105.55999755859375	1.6999999452055199E-28
conserved hypothetical protein	Rv0047c	Mycobacterium tuberculosis H37Rv complete genome.	PF03551.6	PadR	Transcriptional regulator PadR-like family	51479	51727	249	105.5999984741211	1.4999999445713045E-28
membrane protein	Rv0048c	Mycobacterium tuberculosis H37Rv complete genome.	PF08044.3	DUF1707	Domain of unknown function (DUF1707)	52491	52649	159	85.30000305175781	2.2000000311583455E-22
membrane protein	Rv0048c	Mycobacterium tuberculosis H37Rv complete genome.	PF08044.3	DUF1707	Domain of unknown function (DUF1707)	52491	52649	159	82.5999984741211	1.199999961918627E-21
membrane protein	Rv0048c	Mycobacterium tuberculosis H37Rv complete genome.	PF08044.4	DUF1707	Domain of unknown function (DUF1707)	52491	52649	159	65.9	1.6E-18
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.15	Transpeptidase	Penicillin binding protein transpeptidase domain	54590	55465	876	170.3	3.8E-50
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.14	Transpeptidase	Penicillin binding protein transpeptidase domain	54590	55465	876	235.60000610351562	0.0
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00912.14	Transgly	Transglycosylase	53753	54271	519	273.7900085449219	0.0
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00905.14	Transpeptidase	Penicillin binding protein transpeptidase domain	54590	55465	876	235.60000610351562	0.0
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00912.14	Transgly	Transglycosylase	53753	54271	519	273.79998779296875	0.0
bifunctional penicillin-binding protein ponA1	Rv0050	Mycobacterium tuberculosis H37Rv complete genome.	PF00912.15	Transgly	Transglycosylase	53771	54316	546	195.0	4.7E-58
conserved membrane protein	Rv0051	Mycobacterium tuberculosis H37Rv complete genome.	PF09594.3	DUF2029	Protein of unknown function (DUF2029)	56215	56937	723	83.6	1.1E-23
conserved hypothetical protein	Rv0052	Mycobacterium tuberculosis H37Rv complete genome.	PF01965.17	DJ-1_PfpI	DJ-1/PfpI family	57422	57838	417	85.8	1.6E-24
conserved hypothetical protein	Rv0052	Mycobacterium tuberculosis H37Rv complete genome.	PF01965.16	DJ-1_PfpI	DJ-1/PfpI family	57422	57838	417	113.69999694824219	5.400000054739634E-31
conserved hypothetical protein	Rv0052	Mycobacterium tuberculosis H37Rv complete genome.	PF01965.16	DJ-1_PfpI	DJ-1/PfpI family	57422	57838	417	113.7300033569336	6.000000113066009E-31
30S ribosomal protein S6 rpsF	Rv0053	Mycobacterium tuberculosis H37Rv complete genome.	PF01250.9	Ribosomal_S6	Ribosomal protein S6	58195	58470	276	165.6999969482422	0.0
30S ribosomal protein S6 rpsF	Rv0053	Mycobacterium tuberculosis H37Rv complete genome.	PF01250.10	Ribosomal_S6	Ribosomal protein S6	58195	58470	276	103.6	2.9E-30
30S ribosomal protein S6 rpsF	Rv0053	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00166	S6	ribosomal protein S6	58192	58476	285	85.97000122070312	4.100000030816267E-24
30S ribosomal protein S6 rpsF	Rv0053	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00166	TIGR00166	S6: ribosomal protein S6	58192	58476	285	89.1	3.6E-26
30S ribosomal protein S6 rpsF	Rv0053	Mycobacterium tuberculosis H37Rv complete genome.	PF01250.9	Ribosomal_S6	Ribosomal protein S6	58195	58470	276	165.6999969482422	0.0
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	PF01336.18	tRNA_anti	OB-fold nucleic acid binding domain	58697	58909	213	24.8	1.1E-5
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	PF00436.18	SSB	Single-strand binding protein family	58595	58912	318	104.3	2.0E-30
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00621	TIGR00621	ssb: single-strand binding protein	58586	59077	492	137.8	8.7E-41
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	PF00436.17	SSB	Single-strand binding protein family	58595	58912	318	118.83999633789062	1.6999999301591922E-32
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	PF00436.17	SSB	Single-strand binding protein family	58595	58912	318	116.19999694824219	9.200000071491704E-32
single-strand binding protein ssb	Rv0054	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00621	ssb	single-strand binding protein	58589	59077	489	216.02999877929688	0.0
30S ribosomal protein rpsR1	Rv0055	Mycobacterium tuberculosis H37Rv complete genome.	PF01084.12	Ribosomal_S18	Ribosomal protein S18	59191	59352	162	113.94000244140625	5.200000035297509E-31
30S ribosomal protein rpsR1	Rv0055	Mycobacterium tuberculosis H37Rv complete genome.	PF01084.13	Ribosomal_S18	Ribosomal protein S18	59191	59352	162	80.8	3.7E-23
30S ribosomal protein rpsR1	Rv0055	Mycobacterium tuberculosis H37Rv complete genome.	PF01084.12	Ribosomal_S18	Ribosomal protein S18	59191	59352	162	113.9000015258789	4.500000202348942E-31
30S ribosomal protein rpsR1	Rv0055	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00165	S18	ribosomal protein S18	59158	59367	210	83.72000122070312	1.7999999365670533E-24
30S ribosomal protein rpsR1	Rv0055	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00165	TIGR00165	S18: ribosomal protein S18	59161	59367	207	93.1	1.9E-27
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF01281.12	Ribosomal_L9_N	Ribosomal protein L9, N-terminal domain	59409	59552	144	73.4	4.7E-21
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF03948.7	Ribosomal_L9_C	Ribosomal protein L9, C-terminal domain	59592	59861	270	83.3	7.3E-24
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00158	TIGR00158	L9: ribosomal protein L9	59409	59861	453	118.0	1.0E-34
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00158	L9	ribosomal protein L9	59409	59861	453	120.69999694824219	1.500000012654468E-34
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF01281.11	Ribosomal_L9_N	Ribosomal protein L9, N-terminal domain	59409	59552	144	97.66000366210938	4.1000000924460253E-26
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF03948.6	Ribosomal_L9_C	Ribosomal protein L9, C-terminal domain	59592	59861	270	136.94000244140625	6.200000213854295E-38
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF01281.11	Ribosomal_L9_N	Ribosomal protein L9, N-terminal domain	59409	59552	144	97.69999694824219	3.6000000210455264E-26
50S ribosomal protein L9 rplI	Rv0056	Mycobacterium tuberculosis H37Rv complete genome.	PF03948.6	Ribosomal_L9_C	Ribosomal protein L9, C-terminal domain	59592	59861	270	136.89999389648438	5.400000041610028E-38
